species,subgenus,elevation,sex
affinis,Bombus,236,Male
alpinus,Alpinobombus,939,Female
ardens,Pyrobombus,100,Female
balteatus,Alpinobombus,,Male
bellicosus,Thoracobombus,153,Female
bifarius,Pyrobombus,2760,Male
bohemicus,Psithyrus,3300,Female
breviceps,Alpigenobombus,1058,Male
campestris,Psithyrus,150,Male
confusus,Bombias,1181,Male
consobrinus,Megabombus,866,Male
convexus,Mendacibombus,2930,Female
cullumanus,Cullumanobombus,1383,Male
dahlbomii,Thoracobombus,,Male
difficillimus,Subterraneobombus,5220,Male
haemorrhoidalis,Orientalibombus,1058,Male
hortorum,Megabombus,150,Female
huntii,Pyrobombus,,Male
hyperboreus,Alpinobombus,1093,Female
hypnorum,Pyrobombus,150,Male
ignitus,Bombus,729,Male
impatiens,Pyrobombus,285,Male
impetuosus,Thoracobombus,2930,Female
jonellus,Pyrobombus,18,Female
laesus,Thoracobombus,3081,Female
lantschouensis,Bombus,3081,Female
lapidarius,Melanobombus,15,Male
lapponicus,Pyrobombus,384,Male
lucorum,Bombus,179,Female
melanopygus,Pyrobombus,206,Male
monticola,Pyrobombus,179,Female
muscorum,Thoracobombus,7,Female
opulentus,Thoracobombus,732,Male
pascuorum,Thoracobombus,150,Female
picipes,Pyrobombus,701,Male
polaris,Alpinobombus,1519,Male
pratorum,Pyrobombus,150,Female
pyrosoma,Melanobombus,344,Male
pyrrhopygus,Alpinobombus,745,Female
sibiricus,Sibiricobombus,1500,Male
sichelii,Melanobombus,3081,Female
skorikovi,Psithyrus,4516,Male
sonorus,Thoracobombus,95,Male
soroeensis,Kallobombus,1837,Male
superbus,Mendacibombus,5220,Male
supremus,Megabombus,,Female
sylvestris,Psithyrus,150,Male
sylvicola,Pyrobombus,,Male
terrestris,Bombus,150,Female
trifasciatus,Megabombus,1076,Female
turneri,Psithyrus,1816,Male
vancouverensis,Pyrobombus,2214,Male
vestalis,Psithyrus,150,Male
vosnesenskii,Pyrobombus,346,Male
waltoni,Mendacibombus,4016,Male
